ds,revenue,yhat_lower,yhat_upper
2014-01-31,14790.550983830704,5089.429284707848,23731.37279442415
2014-02-28,5778.650833160918,-3929.271493439367,15095.114489248896
2014-03-31,41875.5392475174,33221.511190688914,51266.07364813984
2014-04-30,25662.621286899812,15969.79158211226,35341.27388901866
2014-05-31,25711.964323242493,16458.047772480957,34786.764610061386
2014-06-30,26711.789135277228,17937.77874461176,35971.22121596374
2014-07-31,26438.194265745107,17326.856215981672,35618.80175342887
2014-08-31,30856.688534625035,21052.881645113914,39986.64196287049
2014-09-30,67620.93155921252,58119.98547675031,76972.45839945893
2014-10-31,36077.50434370204,26708.27972173955,45329.08856232702
2014-11-30,78301.38683015284,69326.74015124414,87181.83740049606
2014-12-31,69991.51876150677,60377.73529284931,79924.6296768225
2015-01-31,18738.33688790348,10103.555979082359,27821.131398965383
2015-02-28,13880.831822697997,5059.444179927617,23499.387519824093
2015-03-31,49598.83133751666,40311.69969800379,58807.52084000369
2015-04-30,34575.92268679369,24944.097726477867,43833.57605717212
2015-05-31,26387.65749568148,17316.776429928857,34688.757776214334
2015-06-30,31085.988087829654,22049.478534141042,40306.56738762497
2015-07-31,33255.78933520538,23690.062157582455,43112.44453033072
2015-08-31,40664.397105577096,31331.348326382158,49723.239010428995
2015-09-30,76491.8894551633,67552.55196498548,85852.10168214982
2015-10-31,35984.30677265799,26741.20063879361,45248.91840789291
2015-11-30,86921.24355065028,76872.04866732519,96013.78807867233
2015-12-31,75920.55148089194,66864.22644840089,85099.0835714363
2016-01-31,23165.288929953735,13401.498786978875,32311.161628033005
2016-02-29,14902.19072139775,5821.924891314132,24307.605238614575
2016-03-31,51724.015500930014,43016.71711840181,60680.461266286606
2016-04-30,33016.19323029995,23389.05380289159,41812.3118649384
2016-05-31,49868.271642661566,40911.27835995087,58561.433141212474
2016-06-30,44187.752329042574,34944.733019424224,53402.47082608645
2016-07-31,39287.721943632605,29822.05669314443,48890.438785705956
2016-08-31,37700.41540709483,28485.481249809327,47826.09717497283
2016-09-30,75996.54011825382,66786.54954973253,85511.66300533093
2016-10-31,62955.95813713916,53651.60040297779,71637.73343632196
2016-11-30,88181.8499533379,78700.88535557767,97181.7751783534
2016-12-31,85608.06710444672,76201.48303882162,94077.73122358539
2017-01-31,38211.250420367694,28252.564105011952,46978.86793515582
2017-02-28,25246.80226462465,16130.852662273574,33885.41702699727
2017-03-31,61846.21111498451,52263.3303749048,71310.29643023077
2017-04-30,44535.898988426874,34826.436693481075,54018.85815604637
2017-05-31,53069.88302785264,43943.302927637524,62828.879446376806
2017-06-30,50739.930795216496,40684.992339591736,60082.85142887869
2017-07-31,48243.23963381036,38943.4473674259,57723.861046773935
2017-08-31,49797.26046095269,40793.73888711568,58869.20137640303
2017-09-30,87518.48039488457,78137.67179668962,97212.66695015144
2017-10-31,65271.21415177584,55849.26318415089,74817.51879042902
2017-11-30,99056.46948225854,89416.79071679752,108781.82653065582
2017-12-31,93756.91395085138,84294.80639401478,103170.23507575839
2018-01-31,44491.106020627936,35794.12661561118,54284.66445444838
2018-02-28,35661.33917706103,26720.32058725346,45368.766438729224
2018-03-31,71959.87517904694,62975.84680519323,81070.12261143603
2018-04-30,55942.10004520218,46461.6667590821,66100.72532258774
2018-05-31,56193.09066844737,46926.576823989184,65684.74343862756
2018-06-30,57388.05830420092,48299.77320853423,66228.63887473337
